trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.7, 'e': 43.20000000000039}",30,0,-100.23820973307771,"{0: 16, 1: 8, 2: 4, 3: 2, 4: 0}",0
137,False,"{'a': 0.7, 'e': 43.15000000000039}",20,14,-45.075946405317914,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.7, 'e': 43.10000000000039}",25,3,-151.18727244517166,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 3}",1
139,False,"{'a': 0.7, 'e': 43.050000000000395}",25,18,9.756083200248922,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 43.0000000000004}",25,6,-17.24835890927225,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.7, 'e': 42.9500000000004}",30,0,-216.29868016862304,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
142,False,"{'a': 0.7, 'e': 42.900000000000404}",20,0,-177.83945221080054,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
143,False,"{'a': 0.7, 'e': 42.850000000000406}",20,0,-87.12808188407061,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
144,False,"{'a': 0.7, 'e': 42.80000000000041}",30,19,-1.8478888543240075,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 42.75000000000041}",25,0,-158.68107718691283,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
146,False,"{'a': 0.7, 'e': 42.700000000000415}",25,0,-116.745228877181,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
147,False,"{'a': 0.7, 'e': 42.65000000000042}",35,17,-100.03592438444444,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 1}",1
148,False,"{'a': 0.7, 'e': 42.60000000000042}",30,0,-196.84619352970333,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
149,False,"{'a': 0.7, 'e': 42.55000000000042}",20,0,-68.60661505460317,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
150,False,"{'a': 0.7, 'e': 42.500000000000426}",20,0,-95.30941591529124,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.7, 'e': 42.45000000000043}",20,0,-88.26709588476949,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
152,False,"{'a': 0.7, 'e': 42.40000000000043}",20,0,-151.31634990141208,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
153,False,"{'a': 0.7, 'e': 42.350000000000435}",25,0,-101.73084284820128,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",1
154,False,"{'a': 0.7, 'e': 42.30000000000044}",25,0,-130.653747594857,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
155,False,"{'a': 0.7, 'e': 42.25000000000044}",30,0,-184.85900450589776,"{0: 12, 1: 4, 2: 12, 3: 1, 4: 1}",0
156,False,"{'a': 0.7, 'e': 42.20000000000044}",30,0,-130.87630216557466,"{0: 15, 1: 8, 2: 6, 3: 0, 4: 1}",0
157,False,"{'a': 0.7, 'e': 42.150000000000446}",30,0,-345.97700137256214,"{0: 9, 1: 4, 2: 10, 3: 2, 4: 5}",0
158,False,"{'a': 0.7, 'e': 42.10000000000045}",25,11,-59.253630292517634,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
159,False,"{'a': 0.7, 'e': 42.05000000000045}",35,0,-88.7297790055609,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
160,False,"{'a': 0.7, 'e': 42.000000000000455}",20,0,-99.79036601588847,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
161,False,"{'a': 0.7, 'e': 41.95000000000046}",20,0,-102.0993874241932,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
162,False,"{'a': 0.7, 'e': 41.90000000000046}",20,0,-34.0136882015218,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.7, 'e': 41.85000000000046}",25,0,-81.32818634395584,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
164,False,"{'a': 0.7, 'e': 41.800000000000466}",20,0,-76.6839738247736,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.7, 'e': 41.75000000000047}",20,3,-60.78403907793893,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 0}",1
166,False,"{'a': 0.7, 'e': 41.70000000000047}",20,0,-119.02640288016796,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
167,False,"{'a': 0.7, 'e': 41.650000000000475}",30,0,-282.1182445112946,"{0: 13, 1: 3, 2: 8, 3: 2, 4: 4}",0
168,False,"{'a': 0.7, 'e': 41.60000000000048}",25,0,-97.06222861927498,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
169,False,"{'a': 0.7, 'e': 41.55000000000048}",25,0,-225.22395144239928,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
170,False,"{'a': 0.7, 'e': 41.50000000000048}",25,0,-129.53398307375383,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
171,False,"{'a': 0.7, 'e': 41.450000000000486}",25,0,-108.54868160025802,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
172,False,"{'a': 0.7, 'e': 41.40000000000049}",20,0,-40.789883632435114,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
173,False,"{'a': 0.7, 'e': 41.35000000000049}",30,0,-49.35085142364925,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
174,False,"{'a': 0.7, 'e': 41.300000000000495}",20,11,-12.595538122853167,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 41.2500000000005}",20,0,-67.31088844171617,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.7, 'e': 41.2000000000005}",25,0,-91.98836839885337,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
177,False,"{'a': 0.7, 'e': 41.1500000000005}",25,0,-173.7210964220533,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
178,False,"{'a': 0.7, 'e': 41.100000000000506}",25,0,-113.3298480498656,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
179,False,"{'a': 0.7, 'e': 41.05000000000051}",25,0,-233.3550339622478,"{0: 13, 1: 0, 2: 5, 3: 4, 4: 3}",0
180,False,"{'a': 0.7, 'e': 41.00000000000051}",25,0,-232.67093994806314,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
181,False,"{'a': 0.7, 'e': 40.950000000000514}",20,0,-102.14051801469193,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
182,False,"{'a': 0.7, 'e': 40.90000000000052}",20,0,-81.5486971286774,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
183,False,"{'a': 0.7, 'e': 40.85000000000052}",20,0,-71.02604647327871,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
184,False,"{'a': 0.7, 'e': 40.80000000000052}",20,0,-159.12859878583615,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
